,Mã đơn hàng,Tình trạng thanh toán,Tổng tiền,Tổng cộng,Số lượng sản phẩm,Tên sản phẩm,Giá sản phẩm,Phương thức thanh toán
122,#100018,Chờ xử lý,3780000,3780000,6,EM3,630000,Chuyển khoản qua ngân hàng
123,#100017,Chờ xử lý,7008000,7008000,6,EM2,584000,Chuyển khoản qua ngân hàng
124,#100017,Chờ xử lý,7008000,7008000,6,EM3,584000,Chuyển khoản qua ngân hàng
125,#100016,Chờ xử lý,10512000,10512000,6,EM1,584000,Chuyển khoản qua ngân hàng
126,#100016,Chờ xử lý,10512000,10512000,6,EM2,584000,Chuyển khoản qua ngân hàng
127,#100016,Chờ xử lý,10512000,10512000,6,EM3,584000,Chuyển khoản qua ngân hàng
128,#100015,Chờ xử lý,8820000,8820000,4,EM2,630000,Chuyển khoản qua ngân hàng
129,#100015,Chờ xử lý,8820000,8820000,10,EM3,630000,Chuyển khoản qua ngân hàng
130,#100014,Chờ xử lý,490000,490000,1,Gallia 4,490000,Thanh toán khi giao hàng (COD)
131,#100013,Chờ xử lý,703000,703000,1,Cá tuyết,87000,Thanh toán khi giao hàng (COD)
132,#100013,Chờ xử lý,703000,703000,1,Xoài Bio,77000,Thanh toán khi giao hàng (COD)
133,#100013,Chờ xử lý,703000,703000,1,Lê Bio,77000,Thanh toán khi giao hàng (COD)
134,#100013,Chờ xử lý,703000,703000,1,Đào Bio,77000,Thanh toán khi giao hàng (COD)
135,#100013,Chờ xử lý,703000,703000,1,Khoai lang,77000,Thanh toán khi giao hàng (COD)
136,#100013,Chờ xử lý,703000,703000,1,Ngô ngọt,77000,Thanh toán khi giao hàng (COD)
137,#100013,Chờ xử lý,703000,703000,1,Cà rốt,77000,Thanh toán khi giao hàng (COD)
138,#100013,Chờ xử lý,703000,703000,1,Cà tím,77000,Thanh toán khi giao hàng (COD)
139,#100013,Chờ xử lý,703000,703000,1,Bí hạt,77000,Thanh toán khi giao hàng (COD)
140,#100012,Đã thanh toán,3150000,3150000,5,EM3,630000,Chuyển khoản qua ngân hàng
141,#100011,Chờ xử lý,945000,756000,3,Lê Bio,75000,Chuyển khoản qua ngân hàng
142,#100011,Chờ xử lý,945000,756000,2,Dâu tây,75000,Chuyển khoản qua ngân hàng
143,#100011,Chờ xử lý,945000,756000,2,Táo Bio,65000,Chuyển khoản qua ngân hàng
144,#100011,Chờ xử lý,945000,756000,2,Chuối Bio,70000,Chuyển khoản qua ngân hàng
145,#100011,Chờ xử lý,945000,756000,2,Đào Bio,75000,Chuyển khoản qua ngân hàng
146,#100011,Chờ xử lý,945000,756000,2,Xoài Bio,75000,Chuyển khoản qua ngân hàng
147,#100010,Chờ xử lý,525000,420000,1,Bí hạt,75000,Chuyển khoản qua ngân hàng
148,#100010,Chờ xử lý,525000,420000,1,Cà tím,75000,Chuyển khoản qua ngân hàng
149,#100010,Chờ xử lý,525000,420000,1,Ngô ngọt,75000,Chuyển khoản qua ngân hàng
150,#100010,Chờ xử lý,525000,420000,2,Súp lơ,75000,Chuyển khoản qua ngân hàng
151,#100010,Chờ xử lý,525000,420000,2,Đỗ đũa,75000,Chuyển khoản qua ngân hàng
152,#100009,Chờ xử lý,945000,945000,3,Lê Bio,75000,Chuyển khoản qua ngân hàng
153,#100009,Chờ xử lý,945000,945000,2,Dâu tây,75000,Chuyển khoản qua ngân hàng
154,#100009,Chờ xử lý,945000,945000,2,Táo Bio,65000,Chuyển khoản qua ngân hàng
155,#100009,Chờ xử lý,945000,945000,2,Chuối Bio,70000,Chuyển khoản qua ngân hàng
156,#100009,Chờ xử lý,945000,945000,2,Đào Bio,75000,Chuyển khoản qua ngân hàng
157,#100009,Chờ xử lý,945000,945000,2,Xoài Bio,75000,Chuyển khoản qua ngân hàng
158,#100008,Chờ xử lý,4900000,3920000,10,Cá tuyết,85000,Chuyển khoản qua ngân hàng
159,#100008,Chờ xử lý,4900000,3920000,10,Thịt Gà,85000,Chuyển khoản qua ngân hàng
160,#100008,Chờ xử lý,4900000,3920000,10,Thịt heo,85000,Chuyển khoản qua ngân hàng
161,#100008,Chờ xử lý,4900000,3920000,10,Thịt bê,85000,Chuyển khoản qua ngân hàng
162,#100008,Chờ xử lý,4900000,3920000,3,Cà tím,75000,Chuyển khoản qua ngân hàng
163,#100008,Chờ xử lý,4900000,3920000,3,Ngô ngọt,75000,Chuyển khoản qua ngân hàng
164,#100008,Chờ xử lý,4900000,3920000,3,Bí hạt,75000,Chuyển khoản qua ngân hàng
165,#100008,Chờ xử lý,4900000,3920000,3,Súp lơ,75000,Chuyển khoản qua ngân hàng
166,#100008,Chờ xử lý,4900000,3920000,2,Đỗ đũa,75000,Chuyển khoản qua ngân hàng
167,#100008,Chờ xử lý,4900000,3920000,3,Cà rốt,75000,Chuyển khoản qua ngân hàng
168,#100008,Chờ xử lý,4900000,3920000,3,Khoai lang,75000,Chuyển khoản qua ngân hàng
169,#100007,Đã thanh toán,525000,399000,1,Bí hạt,75000,Chuyển khoản qua ngân hàng
170,#100007,Đã thanh toán,525000,399000,1,Cà tím,75000,Chuyển khoản qua ngân hàng
171,#100007,Đã thanh toán,525000,399000,1,Ngô ngọt,75000,Chuyển khoản qua ngân hàng
172,#100007,Đã thanh toán,525000,399000,2,Súp lơ,75000,Chuyển khoản qua ngân hàng
173,#100007,Đã thanh toán,525000,399000,2,Đỗ đũa,75000,Chuyển khoản qua ngân hàng
174,#100006,Chờ xử lý,800000,800000,1,EM3,800000,Chuyển khoản qua ngân hàng
175,#100005,Chờ xử lý,800000,800000,1,EM2,800000,Chuyển khoản qua ngân hàng
176,#100004,Đã thanh toán,800000,800000,1,EM3,800000,Thanh toán khi giao hàng (COD)
177,#100003,Chờ xử lý,5185000,5035000,6,EM2,800000,Thanh toán khi giao hàng (COD)
178,#100003,Chờ xử lý,5185000,5035000,1,Cá tuyết,85000,Thanh toán khi giao hàng (COD)
179,#100003,Chờ xử lý,5185000,5035000,1,Chuối Bio,75000,Thanh toán khi giao hàng (COD)
180,#100003,Chờ xử lý,5185000,5035000,1,Dâu tây,75000,Thanh toán khi giao hàng (COD)
181,#100003,Chờ xử lý,5185000,5035000,1,Táo Bio,75000,Thanh toán khi giao hàng (COD)
182,#100003,Chờ xử lý,5185000,5035000,1,Cà rốt,75000,Thanh toán khi giao hàng (COD)
183,#100002,Chờ xử lý,1600000,1600000,2,EM1,800000,Chuyển khoản qua ngân hàng
184,#100001,Chờ xử lý,800000,800000,1,EM1,800000,Thanh toán khi giao hàng (COD)
185,#100000,Chờ xử lý,800000,800000,1,EM1,800000,Thanh toán khi giao hàng (COD)
