time,us_dollar,rolling_mean,rev_rolling_mean
2004-12-08,1.33,1.3045233333333333,0.7665635212861914
2004-12-09,1.3305,1.3065033333333331,0.7654017976736889
2004-12-10,1.3191,1.3080166666666668,0.7645162523413309
2004-12-13,1.3268,1.3097500000000002,0.7635044855888528
2004-12-14,1.3317,1.3117899999999998,0.7623171391762402
2004-12-15,1.3383,1.3138866666666666,0.7611006530243603
2004-12-16,1.3401,1.3156433333333335,0.7600844200429193
2004-12-17,1.3264,1.3170033333333333,0.7592995208820024
2004-12-20,1.3378,1.3185399999999998,0.7584146100990491
2004-12-21,1.3394,1.3201500000000002,0.7574896792031207
2004-12-22,1.3384,1.3215066666666668,0.756712035757166
2004-12-23,1.3456,1.3233933333333332,0.7556332458477953
2004-12-24,1.3542,1.3254633333333332,0.7544531597755754
2004-12-27,1.3527,1.3273699999999997,0.7533694448420563
2004-12-28,1.3633,1.3295766666666666,0.752119095551717
2004-12-29,1.3608,1.3315166666666665,0.751023269204291
2004-12-30,1.3604,1.33345,0.7499343807416851
2004-12-31,1.3621,1.3354533333333334,0.7488093930650266
2005-01-03,1.3507,1.3370333333333335,0.7479245094861757
2005-01-04,1.3365,1.3379533333333333,0.7474102235753115
2005-01-05,1.3224,1.3382133333333333,0.7472650100631688
2005-01-06,1.3183,1.3381133333333333,0.7473208547357723
2005-01-07,1.32,1.3379866666666667,0.7473916033044674
2005-01-10,1.3103,1.3375066666666666,0.7476598247485371
2005-01-11,1.3143,1.337,0.7479431563201197
2005-01-12,1.3139,1.3364833333333332,0.7482323011884423
2005-01-13,1.3232,1.3362100000000001,0.7483853585888445
2005-01-14,1.3091,1.3355133333333333,0.7487757516460587
2005-01-17,1.3085,1.3343466666666666,0.7494304328710181
2005-01-18,1.306,1.3330266666666666,0.7501725396841274
2005-01-19,1.3083,1.3323033333333334,0.7505798229132005
2005-01-20,1.2936,1.3310733333333333,0.7512734084272843
2005-01-21,1.2963,1.3303133333333332,0.751702606403504
2005-01-24,1.3065,1.3296366666666666,0.7520851560952742
2005-01-25,1.3025,1.3286633333333335,0.7526361079681584
2005-01-26,1.3005,1.3274033333333335,0.7533505264664595
2005-01-27,1.3026,1.3261533333333333,0.7540606164194186
2005-01-28,1.3035,1.3253899999999998,0.7544949033869277
2005-01-31,1.3035,1.3242466666666668,0.7551463221856954
2005-02-01,1.3027,1.3230233333333332,0.7558445681230113
2005-02-02,1.3061,1.3219466666666666,0.7564601698505236
2005-02-03,1.3001,1.3204300000000002,0.7573290518997599
2005-02-04,1.2958,1.3184833333333335,0.7584472057540861
2005-02-07,1.2844,1.3162066666666667,0.759759105712882
2005-02-08,1.2764,1.3133100000000002,0.7614348478272456
2005-02-09,1.2762,1.3104900000000002,0.7630733542415431
2005-02-10,1.2777,1.3077333333333334,0.7646818923327895
2005-02-11,1.2855,1.30518,0.7661778452014282
2005-02-14,1.2967,1.30338,0.76723595574583
2005-02-15,1.3016,1.3022166666666668,0.767921364852239
2005-02-16,1.304,1.3016033333333334,0.7682832199261935
2005-02-17,1.3041,1.3011300000000001,0.7685627108743938
2005-02-18,1.3039,1.3005933333333333,0.7688798445837541
2005-02-21,1.3055,1.3004333333333336,0.7689744444159637
2005-02-22,1.3193,1.3006,0.7688759034291865
2005-02-23,1.3203,1.3008133333333334,0.768749807812548
2005-02-24,1.326,1.3009066666666667,0.7686946539849131
